Project;CommitID;Developer;Title;Summary;IssueKey;IssueType;CreatedDate;ResolvedDate;PatternChanges
Hadoop HDFS;56e0c33a1ddc84d30888b73784b9716d5e3ae135;Todd Lipcon;[HDFS-909] Race condition between rollEditLog or rollFSImage ant FSEditsLog.write operations  corrupts edits log;Race condition between rollEditLog or rollFSImage ant FSEditsLog.write operations  corrupts edits log;HDFS-909;Bug;Wed- 20 Jan 2010 18:04:32 +0000;Wed- 21 Apr 2010 03:09:10 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;d57c771c3e2987281bb5212d0c300f5abb26143a;Eli Collins;[HDFS-1088] Prevent renaming a symlink to its target ;Prevent renaming a symlink to its target ;HDFS-1088;Bug;Thu- 8 Apr 2010 02:10:44 +0000;Wed- 21 Apr 2010 07:20:26 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;58cf512a030e95d69dee238964b1871b3fbd3647;André Oriani;[HDFS-1031] Enhance the webUi to list a few of the corrupted files in HDFS;Enhance the webUi to list a few of the corrupted files in HDFS;HDFS-1031;Improvement;Tue- 9 Mar 2010 06:51:24 +0000;Sun- 25 Apr 2010 09:14:24 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;4214400d2f6bdbf306397fc6bb4aefb44abca3c1;Christopher Douglas;[HDFS-666] Unit test for FsShell -text;Unit test for FsShell -text;HDFS-666;Test;Wed- 30 Sep 2009 23:20:20 +0000;Sun- 25 Apr 2010 22:42:48 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;8407e62f7880669a8754436b1d79fff42975529d;Jakob Homan;[HDFS-921] Convert TestDFSClientRetries::testNotYetReplicatedErrors to Mockito;Convert TestDFSClientRetries::testNotYetReplicatedErrors to Mockito;HDFS-921;Improvement;Tue- 26 Jan 2010 02:44:14 +0000;Mon- 26 Apr 2010 02:19:08 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;8cab2b8266afb7470f841f4f6b6ecced3aa7f86a;Hairong Kuang;[HDFS-1091] Implement listStatus that returns an Iterator of FileStatus ;Implement listStatus that returns an Iterator of FileStatus ;HDFS-1091;New Feature;Thu- 8 Apr 2010 23:47:33 +0000;Wed- 28 Apr 2010 21:08:15 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;51bda0a0a6a3795915a989f0d4350abd9ec48cc6;Eli Collins;[HDFS-1089] Remove uses of FileContext#isFile- isDirectory and exists;Remove uses of FileContext#isFile- isDirectory and exists;HDFS-1089;Improvement;Thu- 8 Apr 2010 03:56:05 +0000;Fri- 30 Apr 2010 20:32:10 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;abb8a22937958bdc8a43eccf182b851bc62f4dce;Hairong Kuang;[HDFS-1104] Fsck triggers full GC on NameNode;Fsck triggers full GC on NameNode;HDFS-1104;Bug;Wed- 21 Apr 2010 22:12:47 +0000;Fri- 30 Apr 2010 22:07:47 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;61f78ca936768aea56764dee2fdb21bd59ecdf0b;Dmytro Molkov;[HDFS-1109] HFTP and URL Encoding;HFTP and URL Encoding;HDFS-1109;Bug;Fri- 23 Apr 2010 23:40:15 +0000;Mon- 10 May 2010 19:08:07 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;9b7c93bb3eb47b316903dcadc7c6b81dadc1197c;Dmytro Molkov;[HDFS-853] The HDFS webUI should show a metric that summarizes whether the cluster is balanced regarding disk space usage;The HDFS webUI should show a metric that summarizes whether the cluster is balanced regarding disk space usage;HDFS-853;Improvement;Thu- 24 Dec 2009 18:22:16 +0000;Mon- 10 May 2010 19:25:26 +0000;1 instances of the Mediator Pattern were ADDED
