Project;CommitID;Developer;Title;Summary;IssueKey;IssueType;CreatedDate;ResolvedDate;PatternChanges;Column1;Column2;Column3
MINA;7ab63535e0aee74edc3da1aaf62ec58763b657d0;Trustin Lee;[DIRMINA-454] Trivial denial of service in TextLineDecoder;Trivial denial of service in TextLineDecoder;DIRMINA-454;Bug;Sat- 6 Oct 2007 04:52:25 +0000;Tue- 16 Oct 2007 08:16:53 +0000;2 instances of the Adapter Pattern were REMOVED;2 instances of the Facade Pattern were ADDED;;
MINA;ad7024dfde946cca2df52691a84966e1b8582dc5;Trustin Lee;[DIRMINA-452] IdentittyHashMap Iterator has bug in it.;IdentittyHashMap Iterator has bug in it.;DIRMINA-452;Bug;Tue- 2 Oct 2007 15:16:28 +0000;Tue- 16 Oct 2007 08:37:24 +0000;2 instances of the Adapter Pattern were ADDED;1 instances of the Facade Pattern were ADDED;1 instances of the Flyweight Pattern were ADDED;
MINA;0b5e1b05d681da7a141ae336fb5ca757f3fe46ee;Trustin Lee;[DIRMINA-456] Provide mechanism for detecting a dead lock caused by calling IoFuture.await() in an I/O processor thread.;Provide mechanism for detecting a dead lock caused by calling IoFuture.await() in an I/O processor thread.;DIRMINA-456;Improvement;Fri- 12 Oct 2007 19:32:08 +0000;Fri- 19 Oct 2007 05:45:49 +0000;2 instances of the Adapter Pattern were ADDED;4 instances of the Facade Pattern were ADDED;2 instances of the Flyweight Pattern were ADDED;
MINA;86d61335e5872c6639976ad5f60fd14c9e6205d7;Trustin Lee;[DIRMINA-354] Software grant for a KeepAlive functionality;Software grant for a KeepAlive functionality;DIRMINA-354;New Feature;Mon- 26 Feb 2007 14:20:40 +0000;Tue- 23 Oct 2007 02:43:53 +0000;2 instances of the Adapter Pattern were REMOVED;2 instances of the Facade Pattern were ADDED;1 instances of the Flyweight Pattern were ADDED;
MINA;87e11cf504ef244ac808bd82dd493fd979276c19;Trustin Lee;[DIRMINA-462] Thread.setName causes SecurityException in sandbox contexts (such as Applets);Thread.setName causes SecurityException in sandbox contexts (such as Applets);DIRMINA-462;Improvement;Wed- 24 Oct 2007 15:50:26 +0000;Thu- 25 Oct 2007 06:21:10 +0000;2 instances of the Adapter Pattern were REMOVED;1 instances of the Facade Pattern were REMOVED;1 instances of the Flyweight Pattern were REMOVED;1 instances of the Proxy Pattern were ADDED
MINA;e8b5fa0414ecc9873388fee6f7a382574db4fd3b;Trustin Lee;[DIRMINA-432] IoService method for writing Object to all the managed IoSession;IoService method for writing Object to all the managed IoSession;DIRMINA-432;New Feature;Mon- 3 Sep 2007 07:00:49 +0000;Fri- 26 Oct 2007 09:43:17 +0000;2 instances of the Adapter Pattern were ADDED;1 instances of the Facade Pattern were ADDED;;
MINA;6f164b0110dc8d27ee107994131a11f468f05858;Trustin Lee;[DIRMINA-439] DemuxingProtocolEncoder and DemuxingProtocolDecoder by refactoring DemuxingProtocolCodecFactory;DemuxingProtocolEncoder and DemuxingProtocolDecoder by refactoring DemuxingProtocolCodecFactory;DIRMINA-439;New Feature;Mon- 17 Sep 2007 11:59:20 +0000;Tue- 30 Oct 2007 09:56:00 +0000;1 instances of the Bridge Pattern were REMOVED;2 instances of the Facade Pattern were REMOVED;1 instances of the Flyweight Pattern were REMOVED;
MINA;d835a1bc94c4175934dbfc8d1f3c06d2746d91b8;Trustin Lee;[DIRMINA-466] RecoverableProtocolDecoderException for recoverable decoder errors.;RecoverableProtocolDecoderException for recoverable decoder errors.;DIRMINA-466;Improvement;Thu- 1 Nov 2007 13:42:22 +0000;Fri- 2 Nov 2007 01:01:52 +0000;2 instances of the Adapter Pattern were REMOVED;1 instances of the Facade Pattern were REMOVED;1 instances of the Flyweight Pattern were REMOVED;
MINA;7bdc0e26883825ba54337620ae631a276f1b70ba;Trustin Lee;[DIRMINA-249] exceptionCaught() should provide more information;exceptionCaught() should provide more information;DIRMINA-249;Improvement;Thu- 31 Aug 2006 06:20:13 +0000;Fri- 2 Nov 2007 12:00:23 +0000;2 instances of the Adapter Pattern were REMOVED;1 instances of the Facade Pattern were REMOVED;1 instances of the Flyweight Pattern were REMOVED;1 instances of the Proxy Pattern were REMOVED
MINA;695d77e15c13913f7a459c47a64a1a6f2633ab4b;Trustin Lee;[DIRMINA-302] Unbounded nature of writeRequestQueue can cause OutOfMemoryException;Unbounded nature of writeRequestQueue can cause OutOfMemoryException;DIRMINA-302;Bug;Thu- 2 Nov 2006 12:18:02 +0000;Fri- 2 Nov 2007 12:18:50 +0000;2 instances of the Adapter Pattern were ADDED;1 instances of the Facade Pattern were ADDED;1 instances of the Flyweight Pattern were ADDED;
MINA;76239b9fb6c7f3c6c991e8924aa557e705c6ea35;Trustin Lee;[DIRMINA-467] IoFilter has to filter a setTrafficMask call.;IoFilter has to filter a setTrafficMask call.;DIRMINA-467;New Feature;Sun- 4 Nov 2007 11:26:42 +0000;Sun- 4 Nov 2007 12:23:17 +0000;2 instances of the Adapter Pattern were REMOVED;1 instances of the Facade Pattern were REMOVED;1 instances of the Flyweight Pattern were REMOVED;
MINA;24a9599436b016e922f50b02a6d0bd290a9964e7;Trustin Lee;[DIRMINA-144] Traffic shaping filter;Traffic shaping filter;DIRMINA-144;New Feature;Mon- 12 Dec 2005 03:03:09 +0000;Wed- 14 Nov 2007 05:40:06 +0000;2 instances of the Adapter Pattern were ADDED;1 instances of the Facade Pattern were ADDED;1 instances of the Flyweight Pattern were ADDED;
MINA;30a0b5dee0b00b4037b1c95d116f7b45f4af624d;Trustin Lee;[DIRMINA-144] Traffic shaping filter;Traffic shaping filter;DIRMINA-144;New Feature;Mon- 12 Dec 2005 03:03:09 +0000;Wed- 14 Nov 2007 05:40:06 +0000;2 instances of the Adapter Pattern were REMOVED;1 instances of the Facade Pattern were ADDED;1 instances of the Proxy Pattern were ADDED;
MINA;34ddcd4134dba61bdd76b6d6a99c29143b857d54;Trustin Lee;[DIRMINA-469] Write throughput is horribly low.;Write throughput is horribly low.;DIRMINA-469;Bug;Mon- 5 Nov 2007 02:58:51 +0000;Mon- 5 Nov 2007 03:02:38 +0000;2 instances of the Facade Pattern were ADDED;1 instances of the Flyweight Pattern were ADDED;;
MINA;86fa73b781da3fc4240ca40351e0a6801f240a44;Trustin Lee;[DIRMINA-469] Write throughput is horribly low.;Write throughput is horribly low.;DIRMINA-469;Bug;Mon- 5 Nov 2007 02:58:51 +0000;Mon- 5 Nov 2007 03:02:38 +0000;2 instances of the Adapter Pattern were ADDED;1 instances of the Facade Pattern were ADDED;1 instances of the Flyweight Pattern were ADDED;
MINA;7bc5c06a7dbd873d80f3074a05b9fd99d9180c90;Niklas Therning;[DIRMINA-463] Find the best way to specify both MINA and non-MINA events.;Find the best way to specify both MINA and non-MINA events.;DIRMINA-463;Task;Mon- 29 Oct 2007 03:27:45 +0000;Mon- 5 Nov 2007 19:21:12 +0000;2 instances of the Adapter Pattern were REMOVED;1 instances of the Facade Pattern were REMOVED;1 instances of the Flyweight Pattern were REMOVED;
MINA;c004d60944625df21a47cbaab027c3d730eb491f;Trustin Lee;[DIRMINA-428] Message priorities;Message priorities;DIRMINA-428;New Feature;Wed- 29 Aug 2007 03:50:46 +0000;Tue- 6 Nov 2007 06:26:36 +0000;2 instances of the Adapter Pattern were ADDED;3 instances of the Facade Pattern were ADDED;2 instances of the Flyweight Pattern were ADDED;
MINA;fa289f636f85c0f9de72cb35ea511fdf75e73df9;Trustin Lee;[DIRMINA-292] Shared I/O processors.;Shared I/O processors.;DIRMINA-292;New Feature;Thu- 19 Oct 2006 13:48:37 +0000;Thu- 8 Nov 2007 05:33:11 +0000;2 instances of the Adapter Pattern were REMOVED;1 instances of the Facade Pattern were REMOVED;1 instances of the Flyweight Pattern were REMOVED;1 instances of the Proxy Pattern were REMOVED
MINA;710c0b36207a78644e659a28ccb6b1d1db73faa1;Trustin Lee;[DIRMINA-292] Shared I/O processors.;Shared I/O processors.;DIRMINA-292;New Feature;Thu- 19 Oct 2006 13:48:37 +0000;Thu- 8 Nov 2007 05:33:11 +0000;2 instances of the Adapter Pattern were ADDED;1 instances of the Facade Pattern were REMOVED;;
MINA;b0d9c7d8c12884ac005726e6e6edbc6a78d60fad;Trustin Lee;[DIRMINA-341] Allow binding multiple SocketAddresses per IoAcceptor.;Allow binding multiple SocketAddresses per IoAcceptor.;DIRMINA-341;New Feature;Sun- 28 Jan 2007 04:06:54 +0000;Fri- 9 Nov 2007 11:37:00 +0000;2 instances of the Facade Pattern were ADDED;1 instances of the Flyweight Pattern were ADDED;;
MINA;332a365bcad17198d148f1e95e3d1998b6e7f14f;Trustin Lee;[DIRMINA-341] Allow binding multiple SocketAddresses per IoAcceptor.;Allow binding multiple SocketAddresses per IoAcceptor.;DIRMINA-341;New Feature;Sun- 28 Jan 2007 04:06:54 +0000;Fri- 9 Nov 2007 11:37:00 +0000;2 instances of the Facade Pattern were REMOVED;1 instances of the Flyweight Pattern were REMOVED;;
MINA;f2039b34dc7adaf974132707a160b2e9896c0a38;Trustin Lee;[DIRMINA-473] ReadThrottleFilter throws IllegalStateException;ReadThrottleFilter throws IllegalStateException;DIRMINA-473;Bug;Sat- 10 Nov 2007 23:46:03 +0000;Thu- 17 Jul 2008 12:53:29 +0000;2 instances of the Facade Pattern were REMOVED;1 instances of the Flyweight Pattern were REMOVED;;
